f 1m 1f 2m 2f 3m 3f 4m 4f jL0402m jL0402f jL0300m jL0300f jVINm jVINf 
2.53536 0.366912 -68.4747 1 -7.06229e-16 0.930256 21.5253 0.184227 180 0.0743387 90 0.366912 -68.4747 1.00276 175.749
2.59502 0.359578 -68.9257 1 -7.4156e-16 0.933115 21.0743 0.174393 -180 0.0720265 90 0.359578 -68.9257 1.00259 175.88
2.65609 0.352348 -69.369 1 1.24629e-16 0.935869 20.631 0.165158 180 0.0698172 90 0.352348 -69.369 1.00243 176.006
2.71859 0.345223 -69.8046 1 -1.16631e-15 0.938521 20.1954 0.156477 -180 0.0677039 90 0.345223 -69.8046 1.00229 176.127
2.78256 0.338204 -70.2325 1 -4.88032e-16 0.941073 19.7675 0.14831 -180 0.0656802 90 0.338204 -70.2325 1.00215 176.242
2.84804 0.331291 -70.6529 1 -3.26131e-16 0.943529 19.3471 0.140621 180 0.0637406 90 0.331291 -70.6529 1.00203 176.353
2.91505 0.324485 -71.0656 1 -1.88302e-16 0.945891 18.9344 0.133377 180 0.0618797 90 0.324485 -71.0656 1.00191 176.459
2.98365 0.317786 -71.4709 1 1.42682e-16 0.948162 18.5291 0.126548 -180 0.0600928 90 0.317786 -71.4709 1.0018 176.561
3.05386 0.311195 -71.8687 1 -4.4183e-16 0.950346 18.1313 0.120105 -180 0.0583755 90 0.311195 -71.8687 1.0017 176.659
3.12572 0.304712 -72.2592 1 2.15479e-17 0.952444 17.7408 0.114024 180 0.0567238 90 0.304712 -72.2592 1.00161 176.753
3.19927 0.298337 -72.6423 1 -4.52701e-16 0.954461 17.3577 0.10828 -180 0.0551339 90 0.298337 -72.6423 1.00152 176.844
3.27455 0.29207 -73.0181 1 1.58212e-16 0.956397 16.9819 0.102852 180 0.0536026 90 0.29207 -73.0181 1.00144 176.932
3.3516 0.28591 -73.3868 1 2.55858e-16 0.958257 16.6132 0.0977206 -180 0.0521266 90 0.28591 -73.3868 1.00136 177.016
3.43047 0.279857 -73.7483 1 1.14922e-16 0.960042 16.2517 0.0928666 180 0.050703 90 0.279857 -73.7483 1.00128 177.097
3.51119 0.273911 -74.1029 1 -3.88251e-18 0.961755 15.8971 0.088273 180 0.0493291 90 0.273911 -74.1029 1.00122 177.176
3.59381 0.268071 -74.4505 1 -1.18417e-16 0.963399 15.5495 0.0839242 -180 0.0480025 90 0.268071 -74.4505 1.00115 177.252
3.67838 0.262337 -74.7912 1 3.8301e-16 0.964976 15.2088 0.0798053 -180 0.0467207 90 0.262337 -74.7912 1.00109 177.325
3.76494 0.256708 -75.1252 1 -8.61918e-17 0.966489 14.8748 0.0759027 -180 0.0454816 90 0.256708 -75.1252 1.00103 177.396
3.85353 0.251182 -75.4525 1 -1.58601e-16 0.96794 14.5475 0.0722037 180 0.0442832 90 0.251182 -75.4525 1.00098 177.464
3.94421 0.24576 -75.7732 1 -1.93543e-16 0.969331 14.2268 0.0686965 -180 0.0431236 90 0.24576 -75.7732 1.00093 177.531
4.03702 0.240441 -76.0875 1 -1.65589e-16 0.970664 13.9125 0.06537 180 0.042001 90 0.240441 -76.0875 1.00088 177.595
4.13201 0.235222 -76.3953 1 -3.17007e-16 0.971942 13.6047 0.062214 180 0.0409139 90 0.235222 -76.3953 1.00084 177.657
4.22924 0.230104 -76.6968 1 2.776e-17 0.973166 13.3032 0.0592188 180 0.0398605 90 0.230104 -76.6968 1.00079 177.717
4.32876 0.225085 -76.9921 1 -2.89247e-17 0.974339 13.0079 0.0563755 -180 0.0388396 90 0.225085 -76.9921 1.00075 177.776
4.43062 0.220164 -77.2814 1 -4.49983e-16 0.975463 12.7186 0.0536756 180 0.0378497 90 0.220164 -77.2814 1.00072 177.832
4.53488 0.215339 -77.5646 1 -1.51612e-16 0.976539 12.4354 0.0511113 180 0.0368895 90 0.215339 -77.5646 1.00068 177.887
4.64159 0.210611 -77.8418 1 9.24038e-17 0.97757 12.1582 0.0486751 -180 0.0359579 90 0.210611 -77.8418 1.00065 177.941
4.75081 0.205977 -78.1133 1 -1.43265e-16 0.978557 11.8867 0.0463602 -180 0.0350537 90 0.205977 -78.1133 1.00061 177.992
4.8626 0.201436 -78.3791 1 1.81896e-16 0.979502 11.6209 0.04416 180 0.0341758 90 0.201436 -78.3791 1.00058 178.043
4.97702 0.196986 -78.6392 1 -1.28123e-17 0.980406 11.3608 0.0420684 180 0.0333232 90 0.196986 -78.6392 1.00056 178.091
5.09414 0.192628 -78.8938 1 -1.82478e-16 0.981272 11.1062 0.0400797 180 0.032495 90 0.192628 -78.8938 1.00053 178.139
5.21401 0.188358 -79.143 1 -8.8133e-17 0.9821 10.857 0.0381884 -180 0.0316902 90 0.188358 -79.143 1.0005 178.185
5.3367 0.184176 -79.3869 1 7.49325e-17 0.982893 10.6131 0.0363896 -180 0.030908 90 0.184176 -79.3869 1.00048 178.23
5.46228 0.180081 -79.6255 1 5.05697e-17 0.983652 10.3745 0.0346782 180 0.0301475 90 0.180081 -79.6255 1.00045 178.273
5.59081 0.17607 -79.859 1 -1.45109e-16 0.984378 10.141 0.03305 -180 0.0294081 90 0.17607 -79.859 1.00043 178.316
5.72237 0.172144 -80.0875 1 -2.81191e-16 0.985072 9.9125 0.0315005 180 0.0286889 90 0.172144 -80.0875 1.00041 178.357
5.85702 0.1683 -80.311 1 9.25979e-17 0.985736 9.68898 0.0300257 180 0.0279893 90 0.1683 -80.311 1.00039 178.397
5.99484 0.164536 -80.5297 1 1.97329e-16 0.986371 9.47031 0.028622 180 0.0273085 90 0.164536 -80.5297 1.00037 178.436
6.13591 0.160853 -80.7436 1 3.01865e-17 0.986978 9.2564 0.0272856 -180 0.026646 90 0.160853 -80.7436 1.00035 178.474
6.28029 0.157247 -80.9528 1 8.86184e-17 0.987559 9.04715 0.0260131 -180 0.0260012 90 0.157247 -80.9528 1.00034 178.511
6.42807 0.153719 -81.1575 1 -2.43531e-16 0.988115 8.84248 0.0248015 180 0.0253734 90 0.153719 -81.1575 1.00032 178.547
6.57933 0.150265 -81.3577 1 1.46662e-16 0.988646 8.6423 0.0236475 -180 0.0247622 90 0.150265 -81.3577 1.00031 178.582
6.73415 0.146886 -81.5535 1 -6.11496e-18 0.989153 8.44651 0.0225485 -180 0.0241669 90 0.146886 -81.5535 1.00029 178.616
6.89261 0.14358 -81.745 1 2.79541e-16 0.989639 8.25503 0.0215016 -180 0.0235871 90 0.14358 -81.745 1.00028 178.649
