f 1m 1f 2m 2f 3m 3f 4m 4f jV0300m jV0300f 
2.30336 0 0 0 0 0 0 0 0 0 0
2.30868 0 0 0 0 0 0 0 0 0 0
2.31401 0 0 0 0 0 0 0 0 0 0
2.31935 0 0 0 0 0 0 0 0 0 0
2.3247 0 0 0 0 0 0 0 0 0 0
2.33006 0 0 0 0 0 0 0 0 0 0
2.33544 0 0 0 0 0 0 0 0 0 0
2.34083 0 0 0 0 0 0 0 0 0 0
2.34623 0 0 0 0 0 0 0 0 0 0
2.35164 0 0 0 0 0 0 0 0 0 0
2.35707 0 0 0 0 0 0 0 0 0 0
2.36251 0 0 0 0 0 0 0 0 0 0
2.36796 0 0 0 0 0 0 0 0 0 0
2.37342 0 0 0 0 0 0 0 0 0 0
2.3789 0 0 0 0 0 0 0 0 0 0
2.38439 0 0 0 0 0 0 0 0 0 0
2.38989 0 0 0 0 0 0 0 0 0 0
2.39541 0 0 0 0 0 0 0 0 0 0
2.40093 0 0 0 0 0 0 0 0 0 0
2.40648 0 0 0 0 0 0 0 0 0 0
2.41203 0 0 0 0 0 0 0 0 0 0
2.41759 0 0 0 0 0 0 0 0 0 0
2.42317 0 0 0 0 0 0 0 0 0 0
2.42876 0 0 0 0 0 0 0 0 0 0
2.43437 0 0 0 0 0 0 0 0 0 0
2.43999 0 0 0 0 0 0 0 0 0 0
2.44562 0 0 0 0 0 0 0 0 0 0
2.45126 0 0 0 0 0 0 0 0 0 0
2.45692 0 0 0 0 0 0 0 0 0 0
2.46259 0 0 0 0 0 0 0 0 0 0
2.46827 0 0 0 0 0 0 0 0 0 0
2.47396 0 0 0 0 0 0 0 0 0 0
2.47967 0 0 0 0 0 0 0 0 0 0
2.48539 0 0 0 0 0 0 0 0 0 0
2.49113 0 0 0 0 0 0 0 0 0 0
2.49688 0 0 0 0 0 0 0 0 0 0
2.50264 0 0 0 0 0 0 0 0 0 0
2.50842 0 0 0 0 0 0 0 0 0 0
2.5142 0 0 0 0 0 0 0 0 0 0
2.52 0 0 0 0 0 0 0 0 0 0
2.52582 0 0 0 0 0 0 0 0 0 0
2.53165 0 0 0 0 0 0 0 0 0 0
2.53749 0 0 0 0 0 0 0 0 0 0
2.54335 0 0 0 0 0 0 0 0 0 0
2.54921 0 0 0 0 0 0 0 0 0 0
2.5551 0 0 0 0 0 0 0 0 0 0
2.56099 0 0 0 0 0 0 0 0 0 0
2.5669 0 0 0 0 0 0 0 0 0 0
2.57283 0 0 0 0 0 0 0 0 0 0
2.57876 0 0 0 0 0 0 0 0 0 0
2.58471 0 0 0 0 0 0 0 0 0 0
2.59068 0 0 0 0 0 0 0 0 0 0
2.59666 0 0 0 0 0 0 0 0 0 0
2.60265 0 0 0 0 0 0 0 0 0 0
2.60865 0 0 0 0 0 0 0 0 0 0
2.61467 0 0 0 0 0 0 0 0 0 0
2.62071 0 0 0 0 0 0 0 0 0 0
2.62675 0 0 0 0 0 0 0 0 0 0
2.63282 0 0 0 0 0 0 0 0 0 0
2.63889 0 0 0 0 0 0 0 0 0 0
2.64498 0 0 0 0 0 0 0 0 0 0
2.65108 0 0 0 0 0 0 0 0 0 0
2.6572 0 0 0 0 0 0 0 0 0 0
2.66333 0 0 0 0 0 0 0 0 0 0
2.66948 0 0 0 0 0 0 0 0 0 0
2.67564 0 0 0 0 0 0 0 0 0 0
2.68181 0 0 0 0 0 0 0 0 0 0
2.688 0 0 0 0 0 0 0 0 0 0
2.6942 0 0 0 0 0 0 0 0 0 0
2.70042 0 0 0 0 0 0 0 0 0 0
2.70665 0 0 0 0 0 0 0 0 0 0
2.7129 0 0 0 0 0 0 0 0 0 0
2.71916 0 0 0 0 0 0 0 0 0 0
2.72543 0 0 0 0 0 0 0 0 0 0
2.73172 0 0 0 0 0 0 0 0 0 0
2.73803 0 0 0 0 0 0 0 0 0 0
2.74434 0 0 0 0 0 0 0 0 0 0
2.75068 0 0 0 0 0 0 0 0 0 0
2.75702 0 0 0 0 0 0 0 0 0 0
2.76339 0 0 0 0 0 0 0 0 0 0
2.76976 0 0 0 0 0 0 0 0 0 0
2.77615 0 0 0 0 0 0 0 0 0 0
2.78256 0 0 0 0 0 0 0 0 0 0
2.78898 0 0 0 0 0 0 0 0 0 0
2.79542 0 0 0 0 0 0 0 0 0 0
2.80187 0 0 0 0 0 0 0 0 0 0
2.80833 0 0 0 0 0 0 0 0 0 0
2.81481 0 0 0 0 0 0 0 0 0 0
2.82131 0 0 0 0 0 0 0 0 0 0
2.82782 0 0 0 0 0 0 0 0 0 0
2.83434 0 0 0 0 0 0 0 0 0 0
2.84088 0 0 0 0 0 0 0 0 0 0
2.84744 0 0 0 0 0 0 0 0 0 0
2.85401 0 0 0 0 0 0 0 0 0 0
2.8606 0 0 0 0 0 0 0 0 0 0
2.8672 0 0 0 0 0 0 0 0 0 0
2.87381 0 0 0 0 0 0 0 0 0 0
2.88044 0 0 0 0 0 0 0 0 0 0
2.88709 0 0 0 0 0 0 0 0 0 0
2.89375 0 0 0 0 0 0 0 0 0 0
2.90043 0 0 0 0 0 0 0 0 0 0
2.90712 0 0 0 0 0 0 0 0 0 0
2.91383 0 0 0 0 0 0 0 0 0 0
2.92056 0 0 0 0 0 0 0 0 0 0
2.92729 0 0 0 0 0 0 0 0 0 0
2.93405 0 0 0 0 0 0 0 0 0 0
2.94082 0 0 0 0 0 0 0 0 0 0
2.94761 0 0 0 0 0 0 0 0 0 0
2.95441 0 0 0 0 0 0 0 0 0 0
2.96123 0 0 0 0 0 0 0 0 0 0
2.96806 0 0 0 0 0 0 0 0 0 0
2.97491 0 0 0 0 0 0 0 0 0 0
2.98177 0 0 0 0 0 0 0 0 0 0
2.98865 0 0 0 0 0 0 0 0 0 0
2.99555 0 0 0 0 0 0 0 0 0 0
3.00246 0 0 0 0 0 0 0 0 0 0
3.00939 0 0 0 0 0 0 0 0 0 0
3.01633 0 0 0 0 0 0 0 0 0 0
3.02329 0 0 0 0 0 0 0 0 0 0
3.03027 0 0 0 0 0 0 0 0 0 0
3.03726 0 0 0 0 0 0 0 0 0 0
3.04427 0 0 0 0 0 0 0 0 0 0
3.0513 0 0 0 0 0 0 0 0 0 0
3.05834 0 0 0 0 0 0 0 0 0 0
3.0654 0 0 0 0 0 0 0 0 0 0
3.07247 0 0 0 0 0 0 0 0 0 0
3.07956 0 0 0 0 0 0 0 0 0 0
3.08666 0 0 0 0 0 0 0 0 0 0
3.09379 0 0 0 0 0 0 0 0 0 0
3.10093 0 0 0 0 0 0 0 0 0 0
3.10808 0 0 0 0 0 0 0 0 0 0
3.11525 0 0 0 0 0 0 0 0 0 0
3.12244 0 0 0 0 0 0 0 0 0 0
3.12965 0 0 0 0 0 0 0 0 0 0
3.13687 0 0 0 0 0 0 0 0 0 0
3.14411 0 0 0 0 0 0 0 0 0 0
3.15136 0 0 0 0 0 0 0 0 0 0
3.15864 0 0 0 0 0 0 0 0 0 0
3.16592 0 0 0 0 0 0 0 0 0 0
3.17323 0 0 0 0 0 0 0 0 0 0
3.18055 0 0 0 0 0 0 0 0 0 0
3.18789 0 0 0 0 0 0 0 0 0 0
3.19525 0 0 0 0 0 0 0 0 0 0
3.20262 0 0 0 0 0 0 0 0 0 0
3.21001 0 0 0 0 0 0 0 0 0 0
3.21742 0 0 0 0 0 0 0 0 0 0
3.22484 0 0 0 0 0 0 0 0 0 0
3.23228 0 0 0 0 0 0 0 0 0 0
3.23974 0 0 0 0 0 0 0 0 0 0
3.24722 0 0 0 0 0 0 0 0 0 0
3.25471 0 0 0 0 0 0 0 0 0 0
3.26222 0 0 0 0 0 0 0 0 0 0
3.26975 0 0 0 0 0 0 0 0 0 0
3.27729 0 0 0 0 0 0 0 0 0 0
3.28486 0 0 0 0 0 0 0 0 0 0
3.29244 0 0 0 0 0 0 0 0 0 0
3.30003 0 0 0 0 0 0 0 0 0 0
3.30765 0 0 0 0 0 0 0 0 0 0
3.31528 0 0 0 0 0 0 0 0 0 0
3.32293 0 0 0 0 0 0 0 0 0 0
3.3306 0 0 0 0 0 0 0 0 0 0
3.33829 0 0 0 0 0 0 0 0 0 0
3.34599 0 0 0 0 0 0 0 0 0 0
3.35371 0 0 0 0 0 0 0 0 0 0
3.36145 0 0 0 0 0 0 0 0 0 0
3.36921 0 0 0 0 0 0 0 0 0 0
3.37698 0 0 0 0 0 0 0 0 0 0
3.38477 0 0 0 0 0 0 0 0 0 0
3.39258 0 0 0 0 0 0 0 0 0 0
3.40041 0 0 0 0 0 0 0 0 0 0
3.40826 0 0 0 0 0 0 0 0 0 0
3.41612 0 0 0 0 0 0 0 0 0 0
3.42401 0 0 0 0 0 0 0 0 0 0
3.43191 0 0 0 0 0 0 0 0 0 0
3.43983 0 0 0 0 0 0 0 0 0 0
3.44776 0 0 0 0 0 0 0 0 0 0
3.45572 0 0 0 0 0 0 0 0 0 0
3.46369 0 0 0 0 0 0 0 0 0 0
3.47169 0 0 0 0 0 0 0 0 0 0
3.4797 0 0 0 0 0 0 0 0 0 0
3.48773 0 0 0 0 0 0 0 0 0 0
3.49578 0 0 0 0 0 0 0 0 0 0
3.50384 0 0 0 0 0 0 0 0 0 0
3.51193 0 0 0 0 0 0 0 0 0 0
3.52003 0 0 0 0 0 0 0 0 0 0
3.52815 0 0 0 0 0 0 0 0 0 0
3.5363 0 0 0 0 0 0 0 0 0 0
3.54446 0 0 0 0 0 0 0 0 0 0
3.55263 0 0 0 0 0 0 0 0 0 0
3.56083 0 0 0 0 0 0 0 0 0 0
