f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f jL1m jL1f jL2m jL2f jL11m jL11f jL21m jL21f jVINm jVINf jVINm jVINf 
0.00642807 0.036243 85.3804 0.0398564 175.382 0.0402712 85.8201 1 1.31988e-16 0.040259 175.428 1 90 0.997873 -2.30676 0.036243 -94.6196 0.997598 87.6945 0.0398564 -4.61833 0.997873 177.693 0.997598 -92.3055
0.00657933 0.0370907 85.2721 0.040788 175.273 0.0412132 85.7221 1 -2.82051e-16 0.0412 175.321 1 90 0.997773 -2.36069 0.0370907 -94.7279 0.997484 87.6407 0.040788 -4.72653 0.997773 177.639 0.997484 -92.3593
0.00673415 0.0379579 85.1613 0.0417411 175.163 0.0421768 85.6219 1 1.14504e-16 0.0421627 175.211 1 90 0.997667 -2.41585 0.0379579 -94.8387 0.997365 87.5856 0.0417411 -4.83724 0.997667 177.584 0.997365 -92.4144
0.00689261 0.0388452 85.0479 0.0427161 175.049 0.0431627 85.5194 1 3.79294e-17 0.0431476 175.099 1 90 0.997557 -2.47229 0.0388452 -94.9521 0.997241 87.5293 0.0427161 -4.95051 0.997557 177.528 0.997241 -92.4707
0.0070548 0.0397528 84.9319 0.0437136 174.934 0.0441714 85.4144 1 2.3292e-16 0.0441552 174.984 1 90 0.997441 -2.53003 0.0397528 -95.0681 0.99711 87.4717 0.0437136 -5.06641 0.997441 177.47 0.99711 -92.5283
0.00722081 0.0406814 84.8132 0.044734 174.815 0.0452033 85.3071 1 8.97652e-17 0.0451859 174.867 1 90 0.99732 -2.58909 0.0406814 -95.1868 0.996973 87.4127 0.044734 -5.18499 0.99732 177.411 0.996973 -92.5873
0.00739072 0.0416314 84.6917 0.0457779 174.694 0.0462589 85.1973 1 -1.02671e-16 0.0462403 174.747 1 90 0.997193 -2.64951 0.0416314 -95.3083 0.99683 87.3524 0.0457779 -5.30632 0.997193 177.35 0.99683 -92.6476
0.00756463 0.0426031 84.5675 0.0468456 174.57 0.0473388 85.0849 1 4.06092e-17 0.0473188 174.624 1 90 0.99706 -2.71132 0.0426031 -95.4325 0.99668 87.2908 0.0468456 -5.43046 0.99706 177.289 0.99668 -92.7092
0.00774264 0.0435972 84.4403 0.0479378 174.443 0.0484434 84.9699 1 1.80337e-16 0.0484221 174.498 1 90 0.996921 -2.77454 0.0435972 -95.5597 0.996524 87.2277 0.0479378 -5.55747 0.996921 177.225 0.996524 -92.7723
0.00792483 0.0446141 84.3102 0.049055 174.313 0.0495734 84.8523 1 1.92846e-16 0.0495505 174.369 1 90 0.996776 -2.8392 0.0446141 -95.6898 0.996359 87.1632 0.049055 -5.6874 0.996776 177.161 0.996359 -92.8368
