f 1m 1f 2m 2f 3m 3f jL1m jL1f jL2m jL2f jV0300m jV0300f 
1382.24 30.0004 0.00549765 2 90 2 90 0.000652455 61.9321 0.000290404 -97.5891 3.00031 -179.989
1392.25 30.0004 0.00545813 2 90 2 90 0.000647764 61.9321 0.000288316 -97.5892 3.0003 -179.989
1402.26 30.0004 0.00541917 2 90 2 90 0.000643141 61.932 0.000286258 -97.5892 3.0003 -179.989
1412.27 30.0004 0.00538076 2 90 2 90 0.000638583 61.932 0.000284229 -97.5893 3.0003 -179.989
1422.28 30.0004 0.00534289 2 90 2 90 0.000634089 61.932 0.000282229 -97.5893 3.0003 -179.989
1432.29 30.0004 0.00530556 2 90 2 90 0.000629658 61.9319 0.000280257 -97.5893 3.0003 -179.989
1442.3 30.0004 0.00526874 2 90 2 90 0.000625289 61.9319 0.000278312 -97.5894 3.00029 -179.989
1452.31 30.0004 0.00523243 2 90 2 90 0.000620979 61.9319 0.000276394 -97.5894 3.00029 -179.99
1462.32 30.0004 0.00519661 2 90 2 90 0.000616729 61.9318 0.000274502 -97.5894 3.00029 -179.99
1472.32 30.0004 0.00516129 2 90 2 90 0.000612537 61.9318 0.000272636 -97.5895 3.00029 -179.99
1482.33 30.0004 0.00512644 2 90 2 90 0.000608401 61.9318 0.000270795 -97.5895 3.00029 -179.99
1492.34 30.0004 0.00509205 2 90 2 90 0.00060432 61.9318 0.000268979 -97.5896 3.00028 -179.99
1502.35 30.0004 0.00505813 2 90 2 90 0.000600294 61.9317 0.000267187 -97.5896 3.00028 -179.99
1512.36 30.0004 0.00502465 2 90 2 90 0.000596322 61.9317 0.000265419 -97.5896 3.00028 -179.99
1522.37 30.0003 0.00499162 2 90 2 90 0.000592401 61.9317 0.000263674 -97.5897 3.00028 -179.99
1532.38 30.0003 0.00495902 2 90 2 90 0.000588532 61.9316 0.000261951 -97.5897 3.00028 -179.99
1542.39 30.0003 0.00492684 2 90 2 90 0.000584713 61.9316 0.000260251 -97.5897 3.00028 -179.99
1552.4 30.0003 0.00489507 2 90 2 90 0.000580943 61.9316 0.000258573 -97.5897 3.00027 -179.99
1562.41 30.0003 0.00486371 2 90 2 90 0.000577222 61.9316 0.000256917 -97.5898 3.00027 -179.99
1572.41 30.0003 0.00483275 2 90 2 90 0.000573547 61.9315 0.000255282 -97.5898 3.00027 -179.99
1582.42 30.0003 0.00480218 2 90 2 90 0.00056992 61.9315 0.000253667 -97.5898 3.00027 -179.99
1592.43 30.0003 0.004772 2 90 2 90 0.000566338 61.9315 0.000252073 -97.5899 3.00027 -179.99
1602.44 30.0003 0.00474219 2 90 2 90 0.0005628 61.9315 0.000250498 -97.5899 3.00026 -179.991
1612.45 30.0003 0.00471276 2 90 2 90 0.000559307 61.9314 0.000248943 -97.5899 3.00026 -179.991
1622.46 30.0003 0.00468368 2 90 2 90 0.000555857 61.9314 0.000247407 -97.59 3.00026 -179.991
1632.47 30.0003 0.00465497 2 90 2 90 0.000552449 61.9314 0.000245891 -97.59 3.00026 -179.991
1642.48 30.0003 0.0046266 2 90 2 90 0.000549082 61.9314 0.000244392 -97.59 3.00026 -179.991
1652.49 30.0003 0.00459858 2 90 2 90 0.000545757 61.9313 0.000242912 -97.59 3.00026 -179.991
1662.5 30.0003 0.00457089 2 90 2 90 0.000542471 61.9313 0.000241449 -97.5901 3.00026 -179.991
1672.5 30.0003 0.00454354 2 90 2 90 0.000539225 61.9313 0.000240004 -97.5901 3.00025 -179.991
1682.51 30.0003 0.00451651 2 90 2 90 0.000536017 61.9313 0.000238577 -97.5901 3.00025 -179.991
1692.52 30.0003 0.0044898 2 90 2 90 0.000532847 61.9313 0.000237166 -97.5902 3.00025 -179.991
1702.53 30.0003 0.00446341 2 90 2 90 0.000529715 61.9312 0.000235772 -97.5902 3.00025 -179.991
1712.54 30.0003 0.00443732 2 90 2 90 0.000526619 61.9312 0.000234394 -97.5902 3.00025 -179.991
1722.55 30.0003 0.00441154 2 90 2 90 0.000523559 61.9312 0.000233032 -97.5902 3.00025 -179.991
1732.56 30.0003 0.00438605 2 90 2 90 0.000520535 61.9312 0.000231685 -97.5903 3.00024 -179.991
1742.57 30.0003 0.00436086 2 90 2 90 0.000517545 61.9311 0.000230355 -97.5903 3.00024 -179.991
