f 1m 1f 2m 2f 3m 3f jL0301m jL0301f jV0200m jV0200f 
2383.14 1 90.0038 1 90 4.46005e-09 -89.9962 6.67836e-05 -179.996 6.67836e-05 -179.996
2393.15 1 90.0038 1 90 4.42282e-09 -89.9962 6.65043e-05 -179.996 6.65043e-05 -179.996
2403.16 1 90.0038 1 90 4.38606e-09 -89.9962 6.62273e-05 -179.996 6.62273e-05 -179.996
2413.17 1 90.0038 1 90 4.34975e-09 -89.9962 6.59526e-05 -179.996 6.59526e-05 -179.996
2423.18 1 90.0038 1 90 4.31389e-09 -89.9962 6.56802e-05 -179.996 6.56802e-05 -179.996
2433.19 1 90.0037 1 90 4.27847e-09 -89.9963 6.541e-05 -179.996 6.541e-05 -179.996
2443.2 1 90.0037 1 90 4.24349e-09 -89.9963 6.51421e-05 -179.996 6.51421e-05 -179.996
2453.21 1 90.0037 1 90 4.20893e-09 -89.9963 6.48763e-05 -179.996 6.48763e-05 -179.996
2463.22 1 90.0037 1 90 4.1748e-09 -89.9963 6.46127e-05 -179.996 6.46127e-05 -179.996
2473.23 1 90.0037 1 90 4.14107e-09 -89.9963 6.43512e-05 -179.996 6.43512e-05 -179.996
2483.23 1 90.0037 1 90 4.10776e-09 -89.9963 6.40918e-05 -179.996 6.40918e-05 -179.996
2493.24 1 90.0037 1 90 4.07484e-09 -89.9963 6.38345e-05 -179.996 6.38345e-05 -179.996
2503.25 1 90.0036 1 90 4.04232e-09 -89.9964 6.35793e-05 -179.996 6.35793e-05 -179.996
2513.26 1 90.0036 1 90 4.01019e-09 -89.9964 6.33261e-05 -179.996 6.33261e-05 -179.996
2523.27 1 90.0036 1 90 3.97844e-09 -89.9964 6.30749e-05 -179.996 6.30749e-05 -179.996
2533.28 1 90.0036 1 90 3.94706e-09 -89.9964 6.28257e-05 -179.996 6.28257e-05 -179.996
2543.29 1 90.0036 1 90 3.91606e-09 -89.9964 6.25784e-05 -179.996 6.25784e-05 -179.996
2553.3 1 90.0036 1 90 3.88542e-09 -89.9964 6.23331e-05 -179.996 6.23331e-05 -179.996
2563.31 1 90.0036 1 90 3.85513e-09 -89.9964 6.20897e-05 -179.996 6.20897e-05 -179.996
2573.32 1 90.0035 1 90 3.8252e-09 -89.9965 6.18482e-05 -179.996 6.18482e-05 -179.996
2583.32 1 90.0035 1 90 3.79562e-09 -89.9965 6.16086e-05 -179.996 6.16086e-05 -179.996
