f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f 9m 9f 10m 10f 11m 11f 12m 12f 13m 13f 14m 14f 15m 15f 16m 16f 17m 17f 18m 18f jV0500m jV0500f jV0800m jV0800f jV1100m jV1100f jV1300m jV1300f jV1700m jV1700f jV1800m jV1800f 
2.71859 2.37242e-07 90 1 0 0.0034379 -179.996 1.00002 -9.26671e-08 1 0 0.00156699 2.47838e-05 0.891346 -4.44794e-08 0 0 0.00175019 -179.996 0.0015233 -179.996 0 0 0.00155493 -180 1 0 0.00155471 180 0.0017366 0.00391103 0.00171163 -179.996 0 0 0 0 0 0 6.09017e-15 90 1.0408e-17 -89.9961 5.92261e-14 -90 1.16948e-17 -89.9961 3.21403e-07 180 
2.78256 2.42824e-07 90 1 0 0.0034379 -179.996 1.00002 -9.48477e-08 1 0 0.00156699 2.5367e-05 0.891346 -4.55261e-08 0 0 0.00175019 -179.996 0.0015233 -179.996 0 0 0.00155493 -180 1 0 0.00155471 180 0.0017366 0.00400306 0.00171163 -179.996 0 0 0 0 0 0 6.23348e-15 90 1.06529e-17 -89.996 6.06198e-14 -90 1.197e-17 -89.996 3.21403e-07 180 
2.84804 2.48538e-07 90 1 0 0.0034379 -179.996 1.00002 -9.70796e-08 1 0 0.00156699 2.59639e-05 0.891346 -4.65974e-08 0 0 0.00175019 -179.996 0.0015233 -179.996 0 0 0.00155493 -180 1 0 0.00155471 180 0.0017366 0.00409725 0.00171163 -179.996 0 0 0 0 0 0 6.38016e-15 90 1.09036e-17 -89.9959 6.20462e-14 -90 1.22516e-17 -89.9959 3.21403e-07 180 
2.91505 2.54386e-07 90 1 0 0.0034379 -179.996 1.00002 -9.93639e-08 1 0 0.00156699 2.65749e-05 0.891346 -4.76938e-08 0 0 0.00175019 -179.996 0.0015233 -179.996 0 0 0.00155493 -180 1 0 0.00155471 180 0.0017366 0.00419367 0.00171163 -179.996 0 0 0 0 0 0 6.53029e-15 90 1.11602e-17 -89.9958 6.35062e-14 -90 1.25399e-17 -89.9958 3.21403e-07 180 
2.98365 2.60372e-07 90 1 0 0.0034379 -179.996 1.00002 -1.01702e-07 1 0 0.00156699 2.72002e-05 0.891346 -4.88161e-08 0 0 0.00175019 -179.996 0.0015233 -179.996 0 0 0.00155493 -180 1 0 0.00155471 180 0.0017366 0.00429235 0.00171163 -179.996 0 0 0 0 0 0 6.68396e-15 90 1.14228e-17 -89.9957 6.50006e-14 -90 1.2835e-17 -89.9957 3.21403e-07 180 
3.05386 2.66499e-07 90 1 0 0.0034379 -179.996 1.00002 -1.04095e-07 1 0 0.00156699 2.78403e-05 0.891346 -4.99648e-08 0 0 0.00175019 -179.996 0.0015233 -179.996 0 0 0.00155493 -180 1 0 0.00155471 180 0.0017366 0.00439335 0.00171163 -179.996 0 0 0 0 0 0 6.84124e-15 90 1.16916e-17 -89.9956 6.65301e-14 -90 1.3137e-17 -89.9956 3.21403e-07 180 
3.12572 2.7277e-07 90 1 0 0.0034379 -179.996 1.00002 -1.06545e-07 1 0 0.00156699 2.84954e-05 0.891346 -5.11406e-08 0 0 0.00175019 -179.996 0.0015233 -179.996 0 0 0.00155493 -180 1 0 0.00155471 180 0.0017366 0.00449673 0.00171163 -179.996 0 0 0 0 0 0 7.00222e-15 90 1.19667e-17 -89.9955 6.80956e-14 -90 1.34462e-17 -89.9955 3.21403e-07 180 
3.19927 2.79189e-07 90 1 0 0.0034379 -179.995 1.00002 -1.09052e-07 1 0 0.00156699 2.91659e-05 0.891346 -5.23439e-08 0 0 0.00175019 -179.995 0.0015233 -179.995 0 0 0.00155493 -180 1 0 0.00155471 180 0.0017366 0.00460254 0.00171163 -179.995 0 0 0 0 0 0 7.16699e-15 90 1.22483e-17 -89.9954 6.9698e-14 -90 1.37626e-17 -89.9954 3.21403e-07 180 
3.27455 2.85758e-07 90 1 0 0.0034379 -179.995 1.00002 -1.11618e-07 1 0 0.00156699 2.98522e-05 0.891346 -5.35756e-08 0 0 0.00175019 -179.995 0.0015233 -179.995 0 0 0.00155493 -180 1 0 0.00155471 180 0.0017366 0.00471085 0.00171163 -179.995 0 0 0 0 0 0 7.33563e-15 90 1.25365e-17 -89.9953 7.13381e-14 -90 1.40864e-17 -89.9953 3.21403e-07 180 
3.3516 2.92483e-07 90 1 0 0.0034379 -179.995 1.00002 -1.14244e-07 1 0 0.00156699 3.05547e-05 0.891346 -5.48363e-08 0 0 0.00175019 -179.995 0.0015233 -179.995 0 0 0.00155493 -180 1 0 0.00155471 180 0.0017366 0.0048217 0.00171163 -179.995 0 0 0 0 0 0 7.50825e-15 90 1.28315e-17 -89.9952 7.30167e-14 -90 1.44179e-17 -89.9952 3.21403e-07 180 
