f 1m 1f 2m 2f jV0200m jV0200f 
50.9414 4.539 63.0058 10 -0 4.539 -116.994
52.1401 4.62319 62.4632 10 -0 4.62319 -117.537
53.367 4.70808 61.9132 10 -0 4.70808 -118.087
54.6228 4.79364 61.3562 10 -0 4.79364 -118.644
55.9081 4.87981 60.792 10 -0 4.87981 -119.208
57.2237 4.96656 60.221 10 -0 4.96656 -119.779
58.5702 5.05384 59.6432 10 -0 5.05384 -120.357
59.9484 5.14159 59.0588 10 -0 5.14159 -120.941
61.3591 5.22976 58.4679 10 -0 5.22976 -121.532
62.8029 5.3183 57.8708 10 -0 5.3183 -122.129
64.2807 5.40716 57.2676 10 -0 5.40716 -122.732
65.7933 5.49627 56.6586 10 -0 5.49627 -123.341
67.3415 5.58557 56.0439 10 -0 5.58557 -123.956
68.9261 5.67501 55.4238 10 -0 5.67501 -124.576
70.548 5.76452 54.7986 10 -0 5.76452 -125.201
72.2081 5.85403 54.1685 10 -0 5.85403 -125.831
73.9072 5.94349 53.5338 10 -0 5.94349 -126.466
75.6463 6.03282 52.8947 10 -0 6.03282 -127.105
77.4264 6.12196 52.2515 10 -0 6.12196 -127.748
79.2483 6.21084 51.6046 10 -0 6.21084 -128.395
81.1131 6.2994 50.9543 10 -0 6.2994 -129.046
83.0218 6.38757 50.3008 10 -0 6.38757 -129.699
84.9753 6.47528 49.6445 10 -0 6.47528 -130.355
86.9749 6.56246 48.9858 10 -0 6.56246 -131.014
89.0215 6.64905 48.3249 10 -0 6.64905 -131.675
91.1163 6.73499 47.6623 10 -0 6.73499 -132.338
93.2603 6.82022 46.9982 10 -0 6.82022 -133.002
95.4548 6.90466 46.333 10 -0 6.90466 -133.667
97.701 6.98826 45.6671 10 -0 6.98826 -134.333
100 7.07096 45.0009 10 -0 7.07096 -134.999
102.353 7.1527 44.3346 10 -0 7.1527 -135.665
104.762 7.23344 43.6688 10 -0 7.23344 -136.331
107.227 7.31311 43.0036 10 -0 7.31311 -136.996
