f 1m 1f 2m 2f jV0200m jV0200f 
5596.04 0 0 0 0 0 0
5606.05 0 0 0 0 0 0
5616.05 0 0 0 0 0 0
5626.06 0 0 0 0 0 0
5636.07 0 0 0 0 0 0
5646.08 0 0 0 0 0 0
5656.09 0 0 0 0 0 0
5666.1 0 0 0 0 0 0
5676.11 0 0 0 0 0 0
5686.12 0 0 0 0 0 0
5696.13 0 0 0 0 0 0
5706.14 0 0 0 0 0 0
5716.14 0 0 0 0 0 0
5726.15 0 0 0 0 0 0
5736.16 0 0 0 0 0 0
5746.17 0 0 0 0 0 0
5756.18 0 0 0 0 0 0
5766.19 0 0 0 0 0 0
5776.2 0 0 0 0 0 0
5786.21 0 0 0 0 0 0
5796.22 0 0 0 0 0 0
5806.23 0 0 0 0 0 0
5816.23 0 0 0 0 0 0
5826.24 0 0 0 0 0 0
5836.25 0 0 0 0 0 0
5846.26 0 0 0 0 0 0
5856.27 0 0 0 0 0 0
5866.28 0 0 0 0 0 0
5876.29 0 0 0 0 0 0
5886.3 0 0 0 0 0 0
5896.31 0 0 0 0 0 0
5906.32 0 0 0 0 0 0
5916.32 0 0 0 0 0 0
5926.33 0 0 0 0 0 0
5936.34 0 0 0 0 0 0
5946.35 0 0 0 0 0 0
5956.36 0 0 0 0 0 0
5966.37 0 0 0 0 0 0
5976.38 0 0 0 0 0 0
5986.39 0 0 0 0 0 0
5996.4 0 0 0 0 0 0
6006.41 0 0 0 0 0 0
6016.41 0 0 0 0 0 0
6026.42 0 0 0 0 0 0
6036.43 0 0 0 0 0 0
6046.44 0 0 0 0 0 0
6056.45 0 0 0 0 0 0
6066.46 0 0 0 0 0 0
6076.47 0 0 0 0 0 0
6086.48 0 0 0 0 0 0
6096.49 0 0 0 0 0 0
6106.5 0 0 0 0 0 0
6116.5 0 0 0 0 0 0
6126.51 0 0 0 0 0 0
6136.52 0 0 0 0 0 0
6146.53 0 0 0 0 0 0
6156.54 0 0 0 0 0 0
6166.55 0 0 0 0 0 0
6176.56 0 0 0 0 0 0
6186.57 0 0 0 0 0 0
6196.58 0 0 0 0 0 0
6206.59 0 0 0 0 0 0
6216.59 0 0 0 0 0 0
6226.6 0 0 0 0 0 0
6236.61 0 0 0 0 0 0
6246.62 0 0 0 0 0 0
6256.63 0 0 0 0 0 0
6266.64 0 0 0 0 0 0
6276.65 0 0 0 0 0 0
6286.66 0 0 0 0 0 0
6296.67 0 0 0 0 0 0
6306.68 0 0 0 0 0 0
6316.68 0 0 0 0 0 0
6326.69 0 0 0 0 0 0
6336.7 0 0 0 0 0 0
6346.71 0 0 0 0 0 0
6356.72 0 0 0 0 0 0
6366.73 0 0 0 0 0 0
6376.74 0 0 0 0 0 0
6386.75 0 0 0 0 0 0
6396.76 0 0 0 0 0 0
6406.77 0 0 0 0 0 0
6416.77 0 0 0 0 0 0
6426.78 0 0 0 0 0 0
6436.79 0 0 0 0 0 0
6446.8 0 0 0 0 0 0
6456.81 0 0 0 0 0 0
6466.82 0 0 0 0 0 0
6476.83 0 0 0 0 0 0
6486.84 0 0 0 0 0 0
6496.85 0 0 0 0 0 0
6506.86 0 0 0 0 0 0
6516.86 0 0 0 0 0 0
6526.87 0 0 0 0 0 0
6536.88 0 0 0 0 0 0
6546.89 0 0 0 0 0 0
6556.9 0 0 0 0 0 0
6566.91 0 0 0 0 0 0
6576.92 0 0 0 0 0 0
6586.93 0 0 0 0 0 0
6596.94 0 0 0 0 0 0
6606.95 0 0 0 0 0 0
6616.95 0 0 0 0 0 0
6626.96 0 0 0 0 0 0
6636.97 0 0 0 0 0 0
6646.98 0 0 0 0 0 0
6656.99 0 0 0 0 0 0
6667 0 0 0 0 0 0
6677.01 0 0 0 0 0 0
6687.02 0 0 0 0 0 0
6697.03 0 0 0 0 0 0
6707.04 0 0 0 0 0 0
6717.05 0 0 0 0 0 0
6727.05 0 0 0 0 0 0
6737.06 0 0 0 0 0 0
6747.07 0 0 0 0 0 0
6757.08 0 0 0 0 0 0
6767.09 0 0 0 0 0 0
6777.1 0 0 0 0 0 0
6787.11 0 0 0 0 0 0
6797.12 0 0 0 0 0 0
6807.13 0 0 0 0 0 0
6817.14 0 0 0 0 0 0
6827.14 0 0 0 0 0 0
6837.15 0 0 0 0 0 0
6847.16 0 0 0 0 0 0
6857.17 0 0 0 0 0 0
6867.18 0 0 0 0 0 0
6877.19 0 0 0 0 0 0
6887.2 0 0 0 0 0 0
6897.21 0 0 0 0 0 0
6907.22 0 0 0 0 0 0
6917.23 0 0 0 0 0 0
6927.23 0 0 0 0 0 0
6937.24 0 0 0 0 0 0
6947.25 0 0 0 0 0 0
6957.26 0 0 0 0 0 0
6967.27 0 0 0 0 0 0
6977.28 0 0 0 0 0 0
6987.29 0 0 0 0 0 0
6997.3 0 0 0 0 0 0
7007.31 0 0 0 0 0 0
7017.32 0 0 0 0 0 0
7027.32 0 0 0 0 0 0
7037.33 0 0 0 0 0 0
7047.34 0 0 0 0 0 0
7057.35 0 0 0 0 0 0
7067.36 0 0 0 0 0 0
7077.37 0 0 0 0 0 0
7087.38 0 0 0 0 0 0
7097.39 0 0 0 0 0 0
7107.4 0 0 0 0 0 0
7117.41 0 0 0 0 0 0
7127.41 0 0 0 0 0 0
7137.42 0 0 0 0 0 0
7147.43 0 0 0 0 0 0
7157.44 0 0 0 0 0 0
7167.45 0 0 0 0 0 0
7177.46 0 0 0 0 0 0
7187.47 0 0 0 0 0 0
7197.48 0 0 0 0 0 0
7207.49 0 0 0 0 0 0
7217.5 0 0 0 0 0 0
7227.5 0 0 0 0 0 0
7237.51 0 0 0 0 0 0
7247.52 0 0 0 0 0 0
7257.53 0 0 0 0 0 0
7267.54 0 0 0 0 0 0
7277.55 0 0 0 0 0 0
7287.56 0 0 0 0 0 0
7297.57 0 0 0 0 0 0
7307.58 0 0 0 0 0 0
7317.59 0 0 0 0 0 0
7327.59 0 0 0 0 0 0
7337.6 0 0 0 0 0 0
7347.61 0 0 0 0 0 0
7357.62 0 0 0 0 0 0
7367.63 0 0 0 0 0 0
